name,locationName,websiteUrl,enabledFeatures
Vida Verde,,http://www.vidaverdeny.com,TOAST_GIFT_CARDS
Vida Verde,,http://www.vidaverdeny.com,ONLINE_ORDERING
Woodside Delicatessen,,http://www.woodsidedeli.net,REWARDS_PROGRAM
The Holler,,http://www.alocalhangout.com,ONLINE_ORDERING
The Lobster Pot,Willoughby Hills,http://www.thelobsterpotrestaurant.com,REWARDS_PROGRAM
The Lobster Pot,Willoughby Hills,http://www.thelobsterpotrestaurant.com,ONLINE_ORDERING
The Lobster Pot,Willoughby Hills,http://www.thelobsterpotrestaurant.com,TOAST_GIFT_CARDS
BuenoMalo,,http://www.buenomalo.com,REWARDS_PROGRAM
BuenoMalo,,http://www.buenomalo.com,TOAST_GIFT_CARDS
Bigham Tavern,,http://www.bighamtavern.com,REWARDS_PROGRAM
The Holler,,http://www.alocalhangout.com,TOAST_GIFT_CARDS
Bigham Tavern,,http://www.bighamtavern.com,ONLINE_ORDERING
Bigham Tavern,,http://www.bighamtavern.com,TOAST_GIFT_CARDS
EVOS Pinecrest,,http://evos.com/,ONLINE_ORDERING
EVOS Pinecrest,,http://evos.com/,REWARDS_PROGRAM
Seoul BBQ & Sushi,,http://www.seoulphx.com,ONLINE_ORDERING
Hops n Drops,Bonney Lake,http://hopsndrops.com,ONLINE_ORDERING
I Live for Dessert,,http://www.ilivefordessert.com,ONLINE_ORDERING
A3 Pizza,Home of Kingston’s finest pizza!.,http://www.A3Pizza.com,TOAST_GIFT_CARDS
A3 Pizza,Home of Kingston’s finest pizza!.,http://www.A3Pizza.com,ONLINE_ORDERING
Whisknladle Hospitality,Gravity Heights,http://www.gravityheights.com,TOAST_GIFT_CARDS
Whisknladle Hospitality,Gravity Heights,http://www.gravityheights.com,ONLINE_ORDERING
The Cask Taphouse and Grill,"Easton, Pennsylvania",http://www.casktaphouse.com,TOAST_GIFT_CARDS
The Cask Taphouse and Grill,"Easton, Pennsylvania",http://www.casktaphouse.com,ONLINE_ORDERING
The Cask Taphouse and Grill,"Easton, Pennsylvania",http://www.casktaphouse.com,REWARDS_PROGRAM
J Coco Restaurant,"Omaha, NE",http://jcocoomaha.com,TOAST_GIFT_CARDS
Good Life Cafe,Columbia,http://goodlifecafe.net/,ONLINE_ORDERING
Good Life Cafe,Columbia,http://goodlifecafe.net/,TOAST_GIFT_CARDS
La Tasca,Washington DC,http://latascausa.com/,REWARDS_PROGRAM
La Tasca,Washington DC,http://latascausa.com/,TOAST_GIFT_CARDS
La Tasca,Alexandria,http://latascausa.com/,TOAST_GIFT_CARDS
La Tasca,Alexandria,http://latascausa.com/,REWARDS_PROGRAM
IBU Public House,,http://ibupdx.com,TOAST_GIFT_CARDS
IBU Public House,,http://ibupdx.com,REWARDS_PROGRAM
Vitaly Caffe,Costa Mesa at The Camp,http://www.vitaly.net/home,TOAST_GIFT_CARDS
Vitaly Caffe,Costa Mesa at The Camp,http://www.vitaly.net/home,REWARDS_PROGRAM
Hops n Drops,Bonney Lake,http://hopsndrops.com,TOAST_GIFT_CARDS
Straw Hat Pizza,Rancho Cordova,https://www.strawhatpizza.com,ONLINE_ORDERING
Camille's Wood Fired Pizza,,http://camillespizza.com/,ONLINE_ORDERING
Camille's Wood Fired Pizza,,http://camillespizza.com/,TOAST_GIFT_CARDS
Murphy's Law,,http://www.murphyslawri.com/,TOAST_GIFT_CARDS
Murphy's Law,,http://www.murphyslawri.com/,REWARDS_PROGRAM
Somkit,,http://www.somkitdixon.com,ONLINE_ORDERING
Somkit,,http://www.somkitdixon.com,TOAST_GIFT_CARDS
Boxcar Betty's,Summerville,http://www.boxcarbettys.com,TOAST_GIFT_CARDS
Boxcar Betty's,Summerville,http://www.boxcarbettys.com,REWARDS_PROGRAM
Boxcar Betty's,West Ashley,http://www.boxcarbettys.com,REWARDS_PROGRAM
Boxcar Betty's,West Ashley,http://www.boxcarbettys.com,TOAST_GIFT_CARDS
Boxcar Betty's,West Ashley,http://www.boxcarbettys.com,ONLINE_ORDERING
Rons Ice Cream and Bowling,Hyde Park,https://ronsicecream.com/,TOAST_GIFT_CARDS
Mt. Pleasant Grille's Retro Lunch Menu,Available Mon-Fri 10:30am-2:30pm,https://www.mtpleasantgrille.com,TOAST_GIFT_CARDS
Mt. Pleasant Grille's Retro Lunch Menu,Available Mon-Fri 10:30am-2:30pm,https://www.mtpleasantgrille.com,ONLINE_ORDERING
Mt. Pleasant Grille's Retro Lunch Menu,Available Mon-Fri 10:30am-2:30pm,https://www.mtpleasantgrille.com,REWARDS_PROGRAM
Four Cafe,,http://www.fourcafe.net,TOAST_GIFT_CARDS
Four Cafe,,http://www.fourcafe.net,ONLINE_ORDERING
VooDoo Wing Co,Cheyenne,http://www.voodoowingco.com/,TOAST_GIFT_CARDS
VooDoo Wing Co,Cheyenne,http://www.voodoowingco.com/,ONLINE_ORDERING
VooDoo Wing Co,Cheyenne,http://www.voodoowingco.com/,REWARDS_PROGRAM
Penny Oven/ Holi - Organic Takeout Indian Cusine,,http://www.pennyoven.com,TOAST_GIFT_CARDS
Penny Oven/ Holi - Organic Takeout Indian Cusine,,http://www.pennyoven.com,ONLINE_ORDERING
Local Pint,"Flower Mound, TX",http://www.localpint.beer,REWARDS_PROGRAM
Rebellion DC,,http://rebelliondc.com/,TOAST_GIFT_CARDS
University of Beer,Vacaville,http://www.theuob.com,TOAST_GIFT_CARDS
University of Beer,Vacaville,http://www.theuob.com,ONLINE_ORDERING
University of Beer,Vacaville,http://www.theuob.com,REWARDS_PROGRAM
Red 88 Noodle Bar,,https://Red88noodlebar.com,TOAST_GIFT_CARDS
Red 88 Noodle Bar,,https://Red88noodlebar.com,REWARDS_PROGRAM
FIG & OLIVE,Fifth Avenue,https://www.figandolive.com/location/fig-and-olive-nyc-fifth-avenue/,TOAST_GIFT_CARDS
FIG & OLIVE,Fifth Avenue,https://www.figandolive.com/location/fig-and-olive-nyc-fifth-avenue/,REWARDS_PROGRAM
Jack's Bar Steakhouse,New Haven,http://jacksnewhaven.com/,ONLINE_ORDERING
Jack's Bar Steakhouse,New Haven,http://jacksnewhaven.com/,TOAST_GIFT_CARDS
Porter Haus,,http://www.porterhausgaylord.com,REWARDS_PROGRAM
Porter Haus,,http://www.porterhausgaylord.com,TOAST_GIFT_CARDS
D'Ellies,Village West,https://www.dellies.net,REWARDS_PROGRAM
D'Ellies,Village West,https://www.dellies.net,TOAST_GIFT_CARDS
D'Ellies,Village West,https://www.dellies.net,ONLINE_ORDERING
Vick's Pizzeria,Reynoldsburg,http://www.vicksgourmetpizzeria.com,ONLINE_ORDERING
Vick's Pizzeria,Reynoldsburg,http://www.vicksgourmetpizzeria.com,TOAST_GIFT_CARDS
Union Street Tavern,"Windsor, CT",http://www.UnionStreetTavern.com,TOAST_GIFT_CARDS
Union Street Tavern,"Windsor, CT",http://www.UnionStreetTavern.com,REWARDS_PROGRAM
Iron Pig Smokehouse,,http://www.theironpigsmokehouse.com,ONLINE_ORDERING
Colada Shop,DC,http://coladashop.com,REWARDS_PROGRAM
Colada Shop,DC,http://coladashop.com,ONLINE_ORDERING
Colada Shop,DC,http://coladashop.com,TOAST_GIFT_CARDS
Heart & Soul Cafe,0 Central Stree,http://www.heartandsoul.cafe,ONLINE_ORDERING
Boardwalk Pizzeria,,http://www.boardwalkpizzeria.com,ONLINE_ORDERING
Lowell Burger Company,Lowell #1,http://www.lowellburger.co,TOAST_GIFT_CARDS
