RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
Batch & Brine,http://www.batchandbrine.com,,,https://www.toasttab.com/batch-brine/giftcards,,
D6 Pizza,http://d6pizza.com,,,https://www.toasttab.com/d6pizza/giftcards,,
Detroit Wing Company,http://www.detroitwingco.com,,,,,https://www.toasttab.com/detroit-wing-comapny-taylor/v2/online-order#!/
Barrel and Pie,http://www.barrelandpie.com,,,,,https://www.toasttab.com/barrelandpie/v2/online-order#!/
Taco Lingo,https://tacolingo.com/,,,,,https://www.toasttab.com/taco-lingo-uptown/v2/online-order#!/
Whistling Table,http://www.whistlingtable.com,,,,,
Jamba Juice,http://www.jambajuice.com/,,,,,
Pie Tap Pizza Workshop + Bar,https://pie-tap.com/,,,,,
Wing Snob,http://www.thewingsnob.com,,,,,https://www.toasttab.com/locations/adfa9124-1f83-483d-9820-8761adaf50ed#!/
Ebisu Restaurant,http://www.ebisusushi.com,,,,,
Gambino's Pizza,https://www.gambinospizza.com/,,,,,
SPIEDIElicious,http://www.spiedielicious.com,https://www.toasttab.com/spiedielicious/rewards,,,,https://www.toasttab.com/spiedielicious/v2/online-order#!/
Monarca's Authentic Mexican Cuisine,http://www.monarcasrestaurants.com,,,,,https://www.toasttab.com/monarcas-authentic-mexican-cuisine-bar-and-grill/v2/online-order#!/
Casa Amore,https://www.CasaAmore.net,,,,,
Queen City BBQ,http://www.qcityq.com,,,,,https://www.toasttab.com/qcbbq/v2/online-order#!/
Tino's Artisan Pizza Co.,http://www.nojunkpizza.com,,,,,
Harpoon Riverbend Taps & Beer Garden,https://www.harpoonbrewery.com/,,,,,
Mansfield Family Restaurant,http://mansfieldfamilyrestaurant.com/,,,,,
North Of Chicago Pizza,http://www.northofchicagopizza.com,,,,,https://www.toasttab.com/north-of-chicago-pizza/v2/online-order#!/
Crossroads Seafood and Steakhouse,http://www.CrossRoadsPlantCity.Com,,,,,
West Coast Provisions,https://westcoastrva.com,,,,,
The Chocolate Pig,https://www.thechocolatepig.com/,,,https://www.toasttab.com/thechocolatepig/giftcards,,
AsiaSF,http://asiasf.com,,,,,
Local Taco,https://www.localtaco.com,,,,,
Hops n Drops,http://hopsndrops.com,,,,,https://www.toasttab.com/locations/ff7003e2-1f4d-4714-9b00-c5b8eda9a5b9#!/
Boxcar Betty's,http://www.boxcarbettys.com,,,,,
Razza,http://www.razzanj.com,,,https://www.toasttab.com/razza/giftcards,,
Musketeers Bar & Grill,http://www.musketeersgrill.com,,,,,https://www.toasttab.com/musketeers-bar-grill-richfield/v2/online-order#!/order
Anchor Stone Deck Pizza,http://www.anchorpizzeria.com/,,,,,https://www.toasttab.com/anchor-stone-deck-pizza/v2/online-order#!/
The Skunk and Goat Tavern,https://skunkandgoattavern.com/,,,https://www.toasttab.com/theskunkandgoattavern/giftcards,,
Sneha Indian Cuisine,http://www.SnehaIndianCuisine.com,,,,,
Meat & Potatoes,https://www.meatandpotatoespgh.com/,,,https://www.toasttab.com/meat-and-potatoes/giftcards,,https://www.toasttab.com/meat-and-potatoes/v2/online-order#!/order
BTB Burrito,http://www.btbburrito.com,,,https://www.toasttab.com/btbburrito/giftcards,,
Heart & Soul Cafe,http://www.heartandsoul.cafe,,,,,
Hooley House Sports Pub & Grille,https://www.1funpub.com/,,https://www.toasttab.com/hooley-house-sport-pub-and-grille-mentor/rewardsSignup,https://www.toasttab.com/hooley-house-sport-pub/giftcards,https://www.toasttab.com/hooley-house-sport-pub/findcard,
Griff's,http://www.griffs35.com,,,,,
Truman's KC Pizza Tavern,http://trumanspizza.515sites.com/,,,,,
Street City Pub,http://www.streetcity.pub,,,,,https://www.toasttab.com/street-city-pub-hyplz/v2/online-order#!/
Roam Artisan Burgers,http://www.roamburgers.com,,,https://www.toasttab.com/roam-artisan-burgers-union/giftcards,,
Pelons Baja Grill,http://pelonsbajagrill.com,,,,,
Ovation Bistro & Bar,http://www.ovationbistro.com,,,https://www.toasttab.com/ovation-bistro-bar-davenport/giftcards,https://www.toasttab.com/ovation-bistro-bar-davenport/findcard,https://www.toasttab.com/ovation-bistro-bar/v2/online-order#!/
Michael Paulus Test Restaurant,http://mikegrowsgreens.com,,,,,
Fire Wings Natomas,https://www.firewings.com/sacramento-ca-95835,,,,https://www.toasttab.com/fire-wings/findcard,https://www.toasttab.com/fire-wings-sacramento/v2/online-order#!/
Blue Ash Chili,https://www.blueashchili.com,,,,,
Cedar Gardens,http://www.cedargardenbanquet.com/,,,,,
Elixir Bar & Grill,http://www.elixirbarandgrill.com,,,https://www.toasttab.com/elixir-bar-grill/giftcards,,
Red Lion Pub,http://www.redlionpubmke.com/,,,,,
Kevin O'Bryan's Irish Pub,http://www.kevinobryans.com,,,,,
Molly Brannigan's Irish Pub,https://www.mollybrannigans.com/,,,,,
Troupe429,http://troupe429.com,,,,,
Noshville Delicatessen,http://www.noshville.com,,,,,
Saddleback BBQ Retail,http://www.saddlebackbbq.com,,,,,
The Shed,https://www.intheshed.com,,,https://www.toasttab.com/the-shed/giftcards,,https://www.toasttab.com/locations/8ed31bf8-751f-40c7-8280-978b7dcf3389#!/
Napua at Mauna Lani Beach Club,http://www.napuarestaurant.com,,,,,
The Brew Kettle,http://thebrewkettle.com,,,,,
O'Brien's Irish Pub,http://www.obrienspubsbrandon.com,,,,,https://www.toasttab.com/obrienspubsbrandon/v2/online-order#!/
Gino's Burgers & Chicken,http://www.ginostowson.com,,,,,http://www.toasttab.com/ginostowson/v2/online-order#!/
Water Street Cafe,http://www.waterstreetcafe.com,,,,,
Paniniz Cafe & Catering,http://paniniz.com,,,,,
Poquitos Bothell,http://www.poquitosbothell.com/,,,,,https://www.toasttab.com/poquitos-bothell/v2/online-order#!/order
Mia Za's,http://www.miazas.com,,,,,https://www.toasttab.com/mia-zas-shard-1/v2/online-order#!/
Le Plonc,http://www.leplonc.com,,,,,
Violet,https://www.violetseattle.com/,,,,,
GROVE,https://www.groveLWR.com,,,,,
Main Street Pub,http://www.mainstpub.com/,,,,,
University of Beer,https://www.theuob.com,,,https://www.toasttab.com/university-of-beer-davis/giftcards,,
La Tasca,http://latascausa.com/,,,,,
Wally's Deli,https://www.wallysdelifortmyers.com,,,,,
Pelons Baja Grill,https://pelonsbajagrill.com/,,,,,
Fire Wings Fairfield,https://www.firewings.com/fairfield-ca-94533,,,,https://www.toasttab.com/fire-wings/findcard,https://www.toasttab.com/firewings-msa2-2-fairfield/v2/online-order#!/
