RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
Twelve 25,http://www.thetwelve25.com,,,,,
Bottoms Up Bar & Grill,http://www.bottomsuponline.com,,,,,
Maggi's Pizza & Subs,http://www.maggispizzaanddeli.com,,,,,https://www.toasttab.com/maggis-pizza-subs/v2/online-order#!/
The Tavern,http://www.thetavern.com,,,https://www.toasttab.com/the-tavern/giftcards,,
Souper Subs Cafe,http://www.soupersubs.com/,,,https://www.toasttab.com/soupersubs-orodam/giftcards,,
The Cozy Cottage,https://cozyupdenver.com/,,,,,
Sapphire Fine Food and Fancy Drinks,http://www.sapphireknoxville.com,,,,,
Foundry Kitchen and Tavern,http://www.foundrykitchenandtavern.com,,,,,
Dispensa Italian Charcoal Kitchen,http://www.dispensasf.com,,,,,
Market Line,https://www.quechevereles.com,,,,,
Vinted Wine Bar & Kitchen,http://www.vintedwinebar.com,,,,,
Gregory's Diner,https://www.gregorysmiami.com,,,https://www.toasttab.com/gregorys-diner/giftcards,,
The Club at Diamond Beach,http://www.theclubatdiamondbeach.com,,,"{""imageData"":{""type"":""Image"",""id"":""dataItem-k5gswydx"",""metaData"":{""pageId"":""c1dmp"",""isPreset"":false,""schemaVersion"":""1.0"",""isHidden"":false},""title"":"""",""uri"":""a574d3_528bbdfb897042a68127358828b964ae~mv2.png"",""description"":"""",""width"":1050,""height"":600,""alt"":""CDB 2016GC_media.png"",""name"":""CDB 2016GC_media.png"",""link"":{""type"":""ExternalLink"",""id"":""dataItem-k5gui3ux"",""metaData"":{""pageId"":""c1dmp"",""isPreset"":false,""schemaVersion"":""1.0"",""isHidden"":false},""url"":""https://www.toasttab.com/the-club-at-diamond-beach/giftcards"",""target"":""_self""},""displayMode"":""fill""},""containerId"":""comp-k5gswxy9"",""displayMode"":""fill""}",,
Egg Harbor Cafe,https://www.eggharborcafe.com/,,,,,
Eat Love,http://www.eatlove.co,,,,,
Carmine's Clamhouse,https://rosebudrestaurants.com/carmines-gold-coast/,,,,,
Rough Diamond Brewery,http://roughdiamondbrewery.com,,,,,
Burger Daddy,http://www.eatburgerdaddy.com,,,,,
Cafe Pizzaria,http://www.cafepizzaria.com,,,,,
Tradewinds at Jiffy,http://tradewindscafe.com,,,,,
Blue Ruin,http://www.blueruinbar.com,,,,,
Frank's West Ristorante,https://frankswest.com/rooadmin/,,,,,
Craft Tasting Room,https://craftgrowlershop.com,,,https://www.toasttab.com/craft-tasting-room/giftcards,https://www.toasttab.com/craft-tasting-room/findcard,
Lemongrass Restaurant & Sake Bar,http://www.lemongrassnh.net,,,,,
Emmer & Rye,https://emmerandrye.com/,,,,,
Empanada Mamis,https://www.empanadamami.com,,,,,https://www.toasttab.com/empanada-mamis/v2/online-order#!/
September’s Upscale,https://www.septembersupscale.com,,,,,
Aurelio's,https://www.aureliospizza.com/location/homewood/,,,,,
Drumconrath Brewing Company,https://drumconrathbrewing.com/index2.html,,,,,
Irby's Tavern,https://www.irbystavern.com/,,,,,
Draught Horse Pub & Grill,http://www.DraughtHorse.com,,,,,
The Gruff,http://www.atthegruff.com,,,,,
Southside Market & BBQ,https://www.southsidemarket.com,,,,,
Sips Cafe,http://www.sipsrochester.com,,,,,
Paris Baguette,https://www.parisbaguette.com,,,,,
Gitta's Table & Wine Shop,http://www.gittastable.com/,,,,,
Casa Del Mar,https://www.casadelmarnorton.com/,,,,,https://www.toasttab.com/casa-del-mar-norton/v2/online-order#!/
Carrot Tree Kitchens,http://www.carrottreekitchens.com,,,,,
Omi Omy,http://www.omiomyrestaurant.com,,,,,https://www.toasttab.com/omi-omy/v2/online-order#!/
Red South Beach,https://redsobe.com,,,https://www.toasttab.com/red-south-beach/giftcards,,
