RestaurantName,URL,REWARDS_PROGRAM_FEATURE,Rewards,Rewards Signup,TOAST_GIFT_CARDS_FEATURE,Gift Cards,Find Card,ONLINE_ORDERING_FEATURE,Online Order
Eloise Nichols Grill & Liquors,http://eloisenichols.com/,,,,,,,,
Ada's,https://www.adaslv.com/,,,,,,,,
DOMINIC'S PIZZA,http://www.dominicspizza.biz,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/dominics-pizza/giftcards,,ONLINE_ORDERING,http://toasttab.com/dominics-pizza/v2/online-order#!
Hotboys - Oakland,https://worldfamoushotboys.com/,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Clinton Burger Co.,http://www.clintonburgerco.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/clinton-burger-co/v2/online-order#!/
I C Juicy Ice Cream Roll & Bubble Tea,http://icjuicy.com,REWARDS_PROGRAM,https://www.toasttab.com/i-c-juicy-ice-cream-roll-bubble-tea/rewards,https://www.toasttab.com/i-c-juicy-ice-cream-roll-bubble-tea/rewardsSignup,TOAST_GIFT_CARDS,,,,
"""Holy Schnitzel (Aventura",https://HolySchnitzel.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Prime 13,https://prime-13.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/prime-13/giftcards,,,
Anthony's Pizza - Altamonte Springs,http://www.anthonypizzaaltamonte.com/,,,,,,,ONLINE_ORDERING,
Sushi Ramen Go,http://www.sushiramengo.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/sushi-ramen-go/v2/online-order#!/
Barboncino,http://www.barboncinopizza.com,,,,TOAST_GIFT_CARDS,https://t.yesware.com/tt/7bc6adcb438e48b92e561c6d864b1992627427e3/3738e67b05a2bc491428449782fa18da/36ad9dd8deb253d6dd27341874c2c52f/www.toasttab.com/barboncino/giftcards,,ONLINE_ORDERING,
En Fuego Cocina Mexicana,https://www.eatenfuego.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Moxie Wood Fire Grill,http://www.moxiegrill.com,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/moxie-wood-fire-grill/giftcards,,ONLINE_ORDERING,https://www.toasttab.com/moxie-wood-fire-grill/v2/online-order#!/order
Crust Brothers,https://www.crustbrotherspizza.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Mae Ploy's Thai Restaurant,https://www.maeploysthai.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/mae-ploys-thai-restaurant/giftcards,,ONLINE_ORDERING,https://www.toasttab.com/mae-ploys-thai-restaurant/v2/online-order#!/
GP's Hamilton Park,http://www.gpsrestaurant.com/,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/gp-s-restaurant-guttenberg/v2/online-order#!/
Mouton's Bistro & Bar,http://www.moutonsbistro.com/cedar-park/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Cult Taco,https://www.culttaco.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Freddy's Wings & Wraps,https://eatfreddys.com/,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/freddys-wings-wraps/v2/online-order#!/
El Rey Cuban & Mexican Cuisine,https://www.elreytaqueria.com/,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/el-rey-taqueria-bunker-hill/v2/online-order#!/
Ponderosa Steakhouse,http://www.pondotogo.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
The Brown Cow Ice Cream Parlor,http://www.browncowicecream.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
AFAMILY,http://www.theafamily.com,,,,,,,ONLINE_ORDERING,
Angelo's In The Gap,https://www.angelosinthegap.com/,REWARDS_PROGRAM,,,,,,,
City Moose Café & Catering,https://citymoosenh.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Kaliflower,https://www.eatkaliflower.com/,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
Island Fin Poke,https://www.islandfinpoke.com/menu,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
ROOH,https://www.roohchicago.com/,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/rooh/giftcards,,,
Market Line,https://www.essexpearl.com/,,,,TOAST_GIFT_CARDS,,,,
Rusty Pelican,http://www.sippinstation.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Hanz Diner,http://www.hanzdiner.com,REWARDS_PROGRAM,,https://www.toasttab.com/hanzdiner/rewardsSignup,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Track 32,http://www.Track32ny.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Taste Bistro and Coffee Bar,http://www.thetastebistro.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/taste-bistro/v2/online-order#!/
Build A Burger,http://www.mycustomburger.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Platanito Latin Cuisine,https://www.platanitopupusas.com,REWARDS_PROGRAM,,,,,,,
The Village,http://www.thevillagedowntown.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Homemade Taqueria,http://www.homemadetaqueria.com/menu/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Xecora Montebello,https://www.xecorarestaurant.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/xecora-montebello/v2/online-order#!/order
PLUTO'S,http://plutosfreshfood.com,,,,,,,,
212 Pizza Co.,https://212pizzaco.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
Zao’s Chinese Kitchen,http://www.zaoschinesekitchen.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/zao-s-chinese-kitchen/v2/online-order#!/
Bao Hiroo,https://www.baohiroo.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Moorpark Pizza Company,http://www.moorparkpizzaco.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Rain City Burgers,http://www.raincityburgers.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/raincityburgers/v2/online-order#!/
SouthBites Coffee Bar,http://southbitesatx.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Tuerta,http://tuertanm.com,,,,,,,ONLINE_ORDERING,https://www.toasttab.com/tuerta/v2/online-order#!/
Kings of Kobe,https://www.kingsofkobe.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/kingsofkobe/giftcards,,ONLINE_ORDERING,
Lucky Rooster,http://www.luckyroostermarketstreet.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Ando Sushi + Bar,https://andosushi.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/ando-sushi-bar/giftcards,,ONLINE_ORDERING,https://www.toasttab.com/ando-sushi-bar/v2/online-order#!/
Rodney Corner Cafe,http://www.rodneycorner.com,,,,TOAST_GIFT_CARDS,,,,
Taim,http://www.taimfalafel.com,REWARDS_PROGRAM,,https://www.toasttab.com/taim-west-village/rewardsSignup,TOAST_GIFT_CARDS,,,,
Schnitzel Plus,http://www.schnitzelplus.com/,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/schnitzel-plus-englewood/v2/online-order#!/
Pleasure House Brewing,http://pleasurehousebrewing.com/index.html,,,,TOAST_GIFT_CARDS,,,,
Forge Pizza,http://www.theforgepizza.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
HoCo Brew Hive,https://hocobrewhive.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Local Slice Pizza & JuJu's Boba Drinks (during peak times-deliveries may be longer than the given time),http://www.localsliceaustin.com,,,,,,,ONLINE_ORDERING,https://www.toasttab.com/local-slice-pizza-cedar-park/v2/online-order
The Pig & The Pearl,http://www.thepigandthepearl.com,,,,TOAST_GIFT_CARDS,,,,
Monkey Monkey Coffee and Tea,http://www.monkeymonkeynola.com,REWARDS_PROGRAM,,https://www.toasttab.com/monkey-monkey-coffee-and-tea-nola/rewardsSignup,TOAST_GIFT_CARDS,,,,
